"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Place of Death"	"Place of Death Code"	"ICD Chapter"	"ICD Chapter Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	5	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Malnutrition"	"E40-E46"	5	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other nutritional deficiencies"	"E50-E64"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Metabolic disorders"	"E70-E88"	131	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Mental and behavioural disorders"	"F01-F99"	"Organic, including symptomatic, mental disorders"	"F01-F09"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the nervous system"	"G00-G98"	"Inflammatory diseases of the central nervous system"	"G00-G09"	43	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the nervous system"	"G00-G98"	"Systemic atrophies primarily affecting the central nervous system"	"G10-G14"	32	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the nervous system"	"G00-G98"	"Other degenerative diseases of the nervous system"	"G30-G31"	7	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the nervous system"	"G00-G98"	"Episodic and paroxysmal disorders"	"G40-G47"	10	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the nervous system"	"G00-G98"	"Nerve, nerve root and plexus disorders"	"G50-G58"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the nervous system"	"G00-G98"	"Polyneuropathies and other disorders of the peripheral nervous system"	"G60-G64"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the nervous system"	"G00-G98"	"Diseases of myoneural junction and muscle"	"G70-G72"	25	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the nervous system"	"G00-G98"	"Other disorders of the nervous system"	"G90-G98"	108	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the ear and mastoid process"	"H60-H93"	"Diseases of middle ear and mastoid"	"H65-H74"	2	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the circulatory system"	"I00-I99"	"Chronic rheumatic heart diseases"	"I05-I09"	2	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the circulatory system"	"I00-I99"	"Hypertensive diseases"	"I10-I15"	3	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the circulatory system"	"I00-I99"	"Ischaemic heart diseases"	"I20-I25"	5	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the circulatory system"	"I00-I99"	"Pulmonary heart disease and diseases of pulmonary circulation"	"I26-I28"	84	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	115	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	74	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	19	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	21	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the circulatory system"	"I00-I99"	"Other and unspecified disorders of the circulatory system"	"I95-I99"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the respiratory system"	"J00-J98"	"Acute upper respiratory infections"	"J00-J06"	3	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"	64	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the respiratory system"	"J00-J98"	"Other acute lower respiratory infections"	"J20-J22"	12	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of upper respiratory tract"	"J30-J39"	5	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the respiratory system"	"J00-J98"	"Chronic lower respiratory diseases"	"J40-J47"	4	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the respiratory system"	"J00-J98"	"Lung diseases due to external agents"	"J60-J70"	6	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the respiratory system"	"J00-J98"	"Other respiratory diseases principally affecting the interstitium"	"J80-J84"	17	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the respiratory system"	"J00-J98"	"Suppurative and necrotic conditions of lower respiratory tract"	"J85-J86"	12	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of pleura"	"J90-J94"	10	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of the respiratory system"	"J96-J98"	150	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the digestive system"	"K00-K92"	"Diseases of oral cavity, salivary glands and jaws"	"K00-K14"	3	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	9	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the digestive system"	"K00-K92"	"Diseases of appendix"	"K35-K38"	3	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the digestive system"	"K00-K92"	"Hernia"	"K40-K46"	21	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the digestive system"	"K00-K92"	"Noninfective enteritis and colitis"	"K50-K52"	2	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	62	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the digestive system"	"K00-K92"	"Diseases of peritoneum"	"K65-K66"	12	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the digestive system"	"K00-K92"	"Diseases of liver"	"K70-K76"	40	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the digestive system"	"K00-K92"	"Other diseases of the digestive system"	"K90-K92"	8	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"Other disorders of the skin and subcutaneous tissue"	"L80-L98"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Arthropathies"	"M00-M25"	2	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Soft tissue disorders"	"M60-M79"	7	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Osteopathies and chondropathies"	"M80-M94"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the genitourinary system"	"N00-N98"	"Renal tubulo-interstitial diseases"	"N10-N15"	4	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the genitourinary system"	"N00-N98"	"Renal failure"	"N17-N19"	82	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the genitourinary system"	"N00-N98"	"Other disorders of kidney and ureter"	"N25-N28"	4	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the genitourinary system"	"N00-N98"	"Other diseases of urinary system"	"N30-N39"	5	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Newborn affected by maternal factors and by complications of pregnancy, labour and delivery"	"P00-P04"	2665	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Disorders related to length of gestation and fetal growth"	"P05-P08"	4004	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Birth trauma"	"P10-P15"	13	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Respiratory and cardiovascular disorders specific to the perinatal period"	"P20-P29"	2244	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Infections specific to the perinatal period"	"P35-P39"	736	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Haemorrhagic and haematological disorders of newborn"	"P50-P61"	505	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Transitory endocrine and metabolic disorders specific to newborn"	"P70-P74"	5	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Digestive system disorders of newborn"	"P76-P78"	462	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Conditions involving the integument and temperature regulation of newborn"	"P80-P83"	176	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Other disorders originating in the perinatal period"	"P90-P96"	319	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations of the nervous system"	"Q00-Q07"	528	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations of eye, ear, face and neck"	"Q10-Q18"	2	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations of the circulatory system"	"Q20-Q28"	1137	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations of the respiratory system"	"Q30-Q34"	333	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Cleft lip and cleft palate"	"Q35-Q37"	3	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations of the digestive system"	"Q38-Q45"	48	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations of genital organs"	"Q50-Q56"	3	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations of the urinary system"	"Q60-Q64"	446	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	503	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	419	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Chromosomal abnormalities, not elsewhere classified"	"Q90-Q99"	713	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Symptoms and signs involving the circulatory and respiratory systems"	"R00-R09"	11	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Symptoms and signs involving the digestive system and abdomen"	"R10-R19"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Symptoms and signs involving the nervous and musculoskeletal systems"	"R25-R29"	3	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"General symptoms and signs"	"R50-R68"	10	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Abnormal findings on examination of blood, without diagnosis"	"R70-R79"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Ill-defined and unknown causes of mortality"	"R95-R99"	355	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"External causes of morbidity and mortality"	"V01-Y89"	"Transport accidents"	"V01-V99"	25	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	155	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"External causes of morbidity and mortality"	"V01-Y89"	"Assault"	"X85-Y09"	132	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"External causes of morbidity and mortality"	"V01-Y89"	"Event of undetermined intent"	"Y10-Y34"	24	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	9	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	4	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	21	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral infections of the central nervous system"	"A80-A89"	2	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral hepatitis"	"B15-B19"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Certain infectious and parasitic diseases"	"A00-B99"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Certain infectious and parasitic diseases"	"A00-B99"	"Other viral diseases"	"B25-B34"	22	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Neoplasms"	"C00-D48"	"Benign neoplasms"	"D10-D36"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Haemolytic anaemias"	"D55-D59"	3	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Other diseases of blood and blood-forming organs"	"D70-D76"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Certain disorders involving the immune mechanism"	"D80-D89"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other disorders of glucose regulation and pancreatic internal secretion"	"E15-E16"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	6	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Malnutrition"	"E40-E46"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other nutritional deficiencies"	"E50-E64"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Metabolic disorders"	"E70-E88"	17	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the nervous system"	"G00-G98"	"Inflammatory diseases of the central nervous system"	"G00-G09"	5	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the nervous system"	"G00-G98"	"Systemic atrophies primarily affecting the central nervous system"	"G10-G14"	5	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the nervous system"	"G00-G98"	"Episodic and paroxysmal disorders"	"G40-G47"	2	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the nervous system"	"G00-G98"	"Diseases of myoneural junction and muscle"	"G70-G72"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the nervous system"	"G00-G98"	"Cerebral palsy and other paralytic syndromes"	"G80-G83"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the nervous system"	"G00-G98"	"Other disorders of the nervous system"	"G90-G98"	8	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the circulatory system"	"I00-I99"	"Hypertensive diseases"	"I10-I15"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the circulatory system"	"I00-I99"	"Ischaemic heart diseases"	"I20-I25"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the circulatory system"	"I00-I99"	"Pulmonary heart disease and diseases of pulmonary circulation"	"I26-I28"	3	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	57	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	4	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the respiratory system"	"J00-J98"	"Acute upper respiratory infections"	"J00-J06"	8	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"	76	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the respiratory system"	"J00-J98"	"Other acute lower respiratory infections"	"J20-J22"	26	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of upper respiratory tract"	"J30-J39"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the respiratory system"	"J00-J98"	"Chronic lower respiratory diseases"	"J40-J47"	14	Not Applicable	Not Applicable
